"","X","X1.passive","X2.passive","X3.passive","X4.passive","X1.active","X2.active","X3.active","X4.active"
"1",1.2016,0,0,0,NA,0,0,0,NA
"2",1.2017,0,0,NA,NA,1,1,NA,NA
"3",2.2016,0,0,0,NA,0,0,0,NA
"4",2.2017,0,0,NA,NA,0,0,NA,NA
"5",4.2016,0,0,0,NA,0,0,0,NA
"6",4.2017,0,0,NA,NA,0,0,NA,NA
"7",5.2016,1,0,0,NA,1,0,0,NA
"8",5.2017,0,0,NA,NA,1,1,NA,NA
"9",6.2016,0,0,0,NA,0,0,0,NA
"10",6.2017,0,0,NA,NA,0,0,NA,NA
"11",8.2016,0,0,NA,NA,0,0,NA,NA
"12",8.2017,0,0,NA,NA,0,0,NA,NA
"13",9.2016,0,0,NA,NA,0,0,NA,NA
"14",9.2017,0,0,NA,NA,0,0,NA,NA
"15",10.2016,0,0,0,NA,0,0,1,NA
"16",10.2017,0,0,NA,NA,0,0,NA,NA
"17",11.2016,0,0,0,NA,0,0,0,NA
"18",11.2017,0,0,NA,NA,0,0,NA,NA
"19",12.2016,0,0,NA,NA,0,0,NA,NA
"20",12.2017,0,0,NA,NA,0,0,NA,NA
"21",13.2016,0,0,NA,NA,0,0,NA,NA
"22",13.2017,0,NA,NA,NA,0,NA,NA,NA
"23",14.2016,0,NA,NA,NA,0,NA,NA,NA
"24",14.2017,0,0,NA,NA,0,0,NA,NA
"25",15.2016,0,0,NA,NA,0,0,NA,NA
"26",15.2017,0,1,NA,NA,0,0,NA,NA
"27",16.2016,1,0,0,NA,1,0,0,NA
"28",16.2017,0,0,NA,NA,1,0,NA,NA
"29",19.2016,0,1,NA,NA,1,1,NA,NA
"30",19.2017,0,0,NA,NA,0,0,NA,NA
"31",25.2016,0,0,NA,NA,0,0,NA,NA
"32",25.2017,0,0,0,NA,0,0,0,NA
"33",28.2016,0,0,0,NA,0,0,0,NA
"34",28.2017,0,0,NA,NA,0,0,NA,NA
"35",29.2016,0,0,NA,NA,0,0,NA,NA
"36",29.2017,0,0,NA,NA,0,0,NA,NA
"37",30.2016,0,0,NA,NA,0,0,NA,NA
"38",30.2017,0,0,0,NA,0,0,0,NA
"39",33.2016,0,0,NA,NA,0,0,NA,NA
"40",33.2017,0,0,NA,NA,0,0,NA,NA
"41",34.2016,0,0,0,NA,0,0,0,NA
"42",34.2017,0,0,NA,NA,0,0,NA,NA
"43",35.2016,0,0,0,NA,0,0,0,NA
"44",35.2017,0,0,NA,NA,0,0,NA,NA
"45",36.2016,0,0,0,NA,0,0,0,NA
"46",36.2017,0,0,NA,NA,0,0,NA,NA
"47",37.2016,0,0,NA,NA,0,0,NA,NA
"48",37.2017,0,0,NA,NA,0,0,NA,NA
"49",38.2016,0,0,0,NA,0,0,0,NA
"50",38.2017,0,0,0,NA,0,0,0,NA
"51",39.2016,0,0,NA,NA,0,0,NA,NA
"52",39.2017,0,0,NA,NA,0,0,NA,NA
"53",40.2016,0,0,NA,NA,0,0,NA,NA
"54",40.2017,0,0,NA,NA,0,0,NA,NA
"55",42.2016,0,0,0,NA,0,0,0,NA
"56",42.2017,0,0,0,NA,0,0,0,NA
"57",45.2016,0,0,0,NA,0,0,0,NA
"58",45.2017,0,0,NA,NA,0,0,NA,NA
"59",46.2016,0,0,0,NA,0,0,0,NA
"60",46.2017,0,0,NA,NA,0,0,NA,NA
"61",47.2016,0,0,NA,NA,0,0,NA,NA
"62",47.2017,0,0,NA,NA,0,0,NA,NA
"63",48.2016,0,0,0,NA,0,0,0,NA
"64",48.2017,0,0,NA,NA,0,0,NA,NA
"65",56.2016,0,0,NA,NA,0,0,NA,NA
"66",56.2017,0,NA,NA,NA,0,NA,NA,NA
"67",57.2016,0,0,0,NA,0,0,0,NA
"68",57.2017,0,0,NA,NA,0,0,NA,NA
"69",58.2016,0,0,0,NA,0,0,0,NA
"70",58.2017,0,0,NA,NA,0,0,NA,NA
"71",59.2016,0,0,NA,NA,0,0,NA,NA
"72",60.2016,0,0,NA,NA,0,0,NA,NA
"73",60.2017,0,0,NA,NA,0,0,NA,NA
"74",61.2016,0,0,NA,NA,0,0,NA,NA
"75",62.2016,0,NA,NA,NA,0,NA,NA,NA
"76",62.2017,0,0,NA,NA,0,0,NA,NA
"77",63.2016,0,0,0,NA,0,0,0,NA
"78",63.2017,0,0,NA,NA,0,0,NA,NA
"79",65.2016,0,0,0,NA,0,0,0,NA
