"","X","X1.passive","X2.passive","X3.passive","X4.passive","X1.active","X2.active","X3.active","X4.active"
"152",113.2017,0,0,0,NA,0,0,0,NA
"153",114.2016,NA,NA,NA,NA,NA,NA,NA,NA
"154",114.2017,0,0,0,NA,0,0,0,NA
"155",115.2016,NA,NA,NA,NA,NA,NA,NA,NA
"156",115.2017,0,0,0,NA,0,0,0,NA
"157",117.2016,NA,NA,NA,NA,NA,NA,NA,NA
"158",117.2017,0,0,0,NA,0,0,0,NA
"159",118.2016,NA,NA,NA,NA,NA,NA,NA,NA
"160",118.2017,0,0,NA,NA,0,0,NA,NA
"161",119.2016,NA,NA,NA,NA,NA,NA,NA,NA
"162",119.2017,0,0,NA,NA,0,0,NA,NA
"163",120.2016,NA,NA,NA,NA,NA,NA,NA,NA
"164",120.2017,0,1,NA,NA,0,0,NA,NA
"165",121.2016,NA,NA,NA,NA,NA,NA,NA,NA
"166",121.2017,0,1,NA,NA,0,1,NA,NA
"167",122.2016,NA,NA,NA,NA,NA,NA,NA,NA
"168",122.2017,0,0,NA,NA,0,0,NA,NA
"169",123.2016,NA,NA,NA,NA,NA,NA,NA,NA
"170",123.2017,0,0,NA,NA,0,0,NA,NA
"171",124.2016,NA,NA,NA,NA,NA,NA,NA,NA
"172",124.2017,2,2,NA,NA,3,3,NA,NA
"173",125.2016,NA,NA,NA,NA,NA,NA,NA,NA
"174",125.2017,0,0,NA,NA,0,0,NA,NA
"179",130.2016,NA,NA,NA,NA,NA,NA,NA,NA
"180",130.2017,0,0,0,NA,0,0,0,NA
"181",131.2016,NA,NA,NA,NA,NA,NA,NA,NA
"182",131.2017,0,1,1,NA,1,0,1,NA
"183",132.2016,NA,NA,NA,NA,NA,NA,NA,NA
"184",132.2017,0,2,4,NA,0,0,4,NA
"185",133.2016,NA,NA,NA,NA,NA,NA,NA,NA
"186",133.2017,3,2,2,NA,1,4,2,NA
