"","X1","X2","X3","X4","X1.1","X2.1","X3.1","X4.1"
"1",1.04117963972711,0.94815507271742,-2.14026055200417,NA,1.04117963972711,0.94815507271742,-2.14026055200417,NA
"2",1.22722877374648,1.22722877374648,NA,NA,1.22722877374648,1.22722877374648,NA,NA
"3",-0.000695510781381337,-1.5076934963383,-0.782101873662747,NA,-0.000695510781381337,-1.5076934963383,-0.782101873662747,NA
"4",1.99003022322591,1.22722877374648,NA,NA,1.99003022322591,1.22722877374648,NA,NA
"5",0.706291198492235,-0.261164298408503,-0.949546094280183,NA,0.706291198492235,-0.261164298408503,-0.949546094280183,NA
"6",-0.521633086035625,-1.07978048809374,NA,NA,-0.521633086035625,-1.07978048809374,NA,NA
"7",-1.06117557469181,0.185353623237991,0.0737241428263678,NA,-1.06117557469181,0.185353623237991,0.0737241428263678,NA
"8",0.278378190247678,0.278378190247678,NA,NA,0.278378190247678,0.278378190247678,NA,NA
"9",-0.0379053375852559,0.74350102529611,-1.52629840974024,NA,-0.0379053375852559,0.74350102529611,-1.52629840974024,NA
"10",0.203958536639929,-0.391398692222064,NA,NA,0.203958536639929,-0.391398692222064,NA,NA
"11",-0.930941180878245,0.315588017051552,NA,NA,-0.930941180878245,0.315588017051552,NA,NA
"12",-0.298374125212378,-0.782101873662747,NA,NA,-0.298374125212378,-0.782101873662747,NA,NA
"13",0.427217497463176,-1.8053721107693,NA,NA,0.427217497463176,-1.8053721107693,NA,NA
"14",-0.893731354074371,-1.22861979530924,NA,NA,-0.893731354074371,-1.22861979530924,NA,NA
"15",-0.261164298408503,-0.614657653045312,-1.17280505510343,NA,-0.261164298408503,-0.614657653045312,-1.17280505510343,NA
"16",1.54351230157941,1.00396981292323,NA,NA,1.54351230157941,1.00396981292323,NA,NA
"17",-0.112324991193005,-1.86118685097511,0.315588017051552,NA,-0.112324991193005,-1.86118685097511,0.315588017051552,NA
"18",0.0179094026205559,-0.5588429128395,NA,NA,0.0179094026205559,-0.5588429128395,NA,NA
"19",-0.0937200777910677,-0.819311700466622,NA,NA,-0.0937200777910677,-0.819311700466622,NA,NA
"20",-0.372793778820127,1.7853761758046,NA,NA,-0.372793778820127,1.7853761758046,NA,NA
